'id_car_specification','name','id_parent','date_create','date_update','id_car_type'
'1','Bodywork',NULL,'1398983409','1464211790','1'
'2','Body type','1','1398983409','1446624002','1'
'4','Number of seater','1','1398983409','1446624003','1'
'5','Length','1','1398983409','1446624003','1'
'6','Width','1','1398983409','1446624003','1'
'7','Height','1','1398983409','1446624003','1'
'8','Wheelbase','1','1398983409','1464216277','1'
'9','Front track','1','1398983409','1446624003','1'
'10','Rear track','1','1398983409','1446624003','1'
'11','Engine',NULL,'1398983409','1446624003','1'
'12','Engine type','11','1398983409','1446624004','1'
'13','Capacity','11','1398983409','1446624004','1'
'14','Engine power','11','1398983409','1464213794','1'
'15','Max power at RPM','11','1398983409','1464213827','1'
'16','Maximum torque','11','1398983409','1462469007','1'
'17','Injection type','11','1398983409','1464214844','1'
'19','Cylinder layout','11','1398983409','1446624005','1'
'20','Number of cylinders','11','1398983409','1446624005','1'
'22','Fuel','31','1398983410','1462406784','1'
'23','Gearbox and handling',NULL,'1398983410','1464211642','1'
'24','Gearbox type','23','1398983410','1446624008','1'
'26','Number of gear','23','1398983410','1427137980','1'
'27','Drive wheels','23','1398983410','1464215754','1'
'29','Front brakes','40','1398983410','1446624009','1'
'30','Rear brakes','40','1398983410','1446621088','1'
'31','Operating characteristics',NULL,'1398983410','1446621089','1'
'32','Max speed','31','1398983410','1446621068','1'
'33','Acceleration (0-100 km/h)','31','1398983410','1462471638','1'
'34','Curb weight','1','1398983410','1446621089','1'
'35','Fuel tank capacity','31','1398983410','1446621089','1'
'37','Emission standards','31','1398983410','1464213039','1'
'38','Ground clearance','1','1398984605','1446624003','1'
'39','Valves per cylinder','11','1398984605','1464215387','1'
'40','Suspension and brakes',NULL,'1398984605','1446624008','1'
'41','Front suspension','40','1398984605','1464218670','1'
'42','Back suspension','40','1398984605','1464218686','1'
'44','Max trunk capacity','1','1398984608','1446621073','1'
'45','Min trunk capacity','1','1398984608','1446621083','1'
'46','Boost type','11','1398984608','1462407102','1'
'47','Cylinder bore','11','1398984608','1427137982','1'
'48','Stroke cycle','11','1398984608','1427137982','1'
'50','City driving fuel consumption per 100 km','31','1398984608','1462472278','1'
'51','Highway driving fuel consumption per 100 km','31','1398984608','1462472301','1'
'52','Mixed driving fuel consumption per 100 km','31','1398984611','1462472318','1'
'57','Turning circle','23','1398989710','1446620964','1'
'58','Full weight','1','1398991812','1462471362','1'
'62','Cruising range','31','1399122086','1446577601','1'
'1564','Turnover of maximum torque','11','1464214445',NULL,'1'
'1565','Payload','1','1464218477',NULL,'1'
'1566','Presence of intercooler','11','1464300165',NULL,'1'
'1567','Permitted road-train weight','1','1464300461',NULL,'1'
'1568','Front/rear axle load','1','1464300795',NULL,'1'
'1569','Loading height','1','1464378056',NULL,'1'
'1570','Cargo compartment (Length x Width x Height)','1','1464378606',NULL,'1'
'1571','Cargo compartment volume','1','1464378665',NULL,'1'
